02-18 18:10 pyswallow.utils.reporter INFO     Swarm initialised successfully
02-18 18:10 pyswallow.utils.reporter DEBUG    Populations reset
02-18 18:10 pyswallow.utils.reporter DEBUG    Environment reset
02-18 18:10 pyswallow.utils.reporter DEBUG    Population initialised
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 46	GBest Fitness = 1.000	GBest Position = [-0.02185909  0.00015529]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 47	GBest Fitness = 1.000	GBest Position = [-0.0147965   0.01326618]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 48	GBest Fitness = 1.000	GBest Position = [ 0.00402485 -0.00027164]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 49	GBest Fitness = 1.000	GBest Position = [ 0.00402485 -0.00027164]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 50	GBest Fitness = 1.000	GBest Position = [ 0.00402485 -0.00027164]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 51	GBest Fitness = 1.000	GBest Position = [ 0.00402485 -0.00027164]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 52	GBest Fitness = 1.000	GBest Position = [ 0.00402485 -0.00027164]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 53	GBest Fitness = 1.000	GBest Position = [ 0.00402485 -0.00027164]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 54	GBest Fitness = 1.000	GBest Position = [ 0.00402485 -0.00027164]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 55	GBest Fitness = 1.000	GBest Position = [-0.00195091  0.00236673]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 56	GBest Fitness = 1.000	GBest Position = [-0.00195091  0.00236673]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 57	GBest Fitness = 1.000	GBest Position = [ 0.00173573 -0.00174239]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 58	GBest Fitness = 1.000	GBest Position = [ 0.00173573 -0.00174239]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 59	GBest Fitness = 1.000	GBest Position = [ 0.00173573 -0.00174239]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 60	GBest Fitness = 1.000	GBest Position = [ 0.00153723 -0.0016865 ]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 61	GBest Fitness = 1.000	GBest Position = [ 0.00153723 -0.0016865 ]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 62	GBest Fitness = 1.000	GBest Position = [-1.39989046e-04  9.35555304e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 63	GBest Fitness = 1.000	GBest Position = [-1.39989046e-04  9.35555304e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 64	GBest Fitness = 1.000	GBest Position = [-1.39989046e-04  9.35555304e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 65	GBest Fitness = 1.000	GBest Position = [-1.39989046e-04  9.35555304e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 66	GBest Fitness = 1.000	GBest Position = [-1.39989046e-04  9.35555304e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 67	GBest Fitness = 1.000	GBest Position = [-1.39989046e-04  9.35555304e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 68	GBest Fitness = 1.000	GBest Position = [ 6.51565448e-05 -6.71151882e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 69	GBest Fitness = 1.000	GBest Position = [ 6.51565448e-05 -6.71151882e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 70	GBest Fitness = 1.000	GBest Position = [ 6.51565448e-05 -6.71151882e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 71	GBest Fitness = 1.000	GBest Position = [ 6.51565448e-05 -6.71151882e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 72	GBest Fitness = 1.000	GBest Position = [ 6.51565448e-05 -6.71151882e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 73	GBest Fitness = 1.000	GBest Position = [ 6.51565448e-05 -6.71151882e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 74	GBest Fitness = 1.000	GBest Position = [ 5.87905410e-05 -4.51945371e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 75	GBest Fitness = 1.000	GBest Position = [ 5.87905410e-05 -4.51945371e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 76	GBest Fitness = 1.000	GBest Position = [ 5.29420972e-05 -2.60850832e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 77	GBest Fitness = 1.000	GBest Position = [ 3.12772767e-05 -2.90372551e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 78	GBest Fitness = 1.000	GBest Position = [ 3.12772767e-05 -2.90372551e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 79	GBest Fitness = 1.000	GBest Position = [ 3.12772767e-05 -2.90372551e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 80	GBest Fitness = 1.000	GBest Position = [ 3.12772767e-05 -2.90372551e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 81	GBest Fitness = 1.000	GBest Position = [-1.13884580e-05  1.00554166e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 82	GBest Fitness = 1.000	GBest Position = [-1.13884580e-05  1.00554166e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 83	GBest Fitness = 1.000	GBest Position = [-1.13884580e-05  1.00554166e-05]
02-18 18:10 pyswallow.utils.reporter INFO     Iteration 84	GBest Fitness = 1.000	GBest Position = [ 3.04587921e-06 -4.76681433e-06]
